uuid,Members,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1274
f0b151a2-bdd5-4e2c-ac56-12b568882c14,3fa1f2c8-292a-4bee-9c44-941072a0c5c4;f34ea8e1-1978-49df-a05d-707f0f344b2b,,Motif de l'examen,Reason for the examination,Motif de l'examen,Reason for the examination,Misc,N/A,,

2695f825-0b99-426d-b020-b96fd9258047,,,N/A,N/A,N/A,N/A,Misc,N/A,,
7d49355b-1c9f-49aa-a052-a7e1729affe4,,2695f825-0b99-426d-b020-b96fd9258047,Nouveau(pas sous traitement pendant >1mois),New (not on treatment for >1 month),Nouveau(pas sous traitement pendant >1mois),New (not on treatment for >1 month),Misc,Coded,,

f837e6c3-788a-4443-93b4-2f6f8e4569f9,,,Reprise,Resumption,Reprise,Resumption,Misc,N/A,,
91a131ec-6b5c-48ad-a91f-6f721f5621a4,,,<5ans,<5 years,<5ans,<5 years,Misc,N/A,,
b8133193-3c4e-464b-89e7-1595436faf40,,,>5ans,>5 years,>5ans,>5 years,Misc,N/A,,
a23e0d2f-0d14-4ecf-be2b-c5b1f9cdd50e,,,Contact d'un parent TB,Contact with a relative with TB,Contact d'un parent TB,Contact with a relative with TB,Misc,N/A,,
4d003f76-7f48-4daa-a069-323b12b2d29d,,,Contact d'un TB-MR,Contact with an MDR-TB patient,Contact d'un TB-MR,Contact with an MDR-TB patient,Misc,N/A,,
4c97413e-c465-4ce6-adc4-40cdd7e91b75,,2045633a-e4a6-4538-8a92-2b3a00f1e0b7;f837e6c3-788a-4443-93b4-2f6f8e4569f9;f22782a5-8b0a-4807-b6c3-75ac895fc4f0;91a131ec-6b5c-48ad-a91f-6f721f5621a4;b8133193-3c4e-464b-89e7-1595436faf40;a23e0d2f-0d14-4ecf-be2b-c5b1f9cdd50e;4d003f76-7f48-4daa-a069-323b12b2d29d;d825ef4c-22a3-4c45-af8e-ce21b6195d6e,Antécédent de TB,TB history,Antécédent de TB,TB history,Misc,Coded,,

f250bc37-7885-42be-8a3d-81eae10eb6bc,,,Noms,Name,Noms,Name,Misc,Text,,
3e49250d-b124-465b-8965-90a42e92ad7e,,,Tel,Phone,Tel,Phone,Misc,Text,,
2d1e74ed-d739-4814-aecc-cd7c7a11086d,,,Email,Email,Email,Email,Misc,Text,,
744ca7b5-d7da-40c3-b271-d70960d0c433,,,Date de demande,Date of request,Date de demande,Date of request,Misc,DateTime,,
1dc8c669-baa4-44e5-b5a9-f6f152da6bc6,,,Signature,Signature,Signature,Signature,Misc,Text,,
